N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
213,덴티움,"87,500",300,+0.34%,500,"9,685","11,069",22.52,"49,776",11.47,21.29,
214,하나투어,"60,100","2,600",+4.52%,500,"9,640","16,039",7.40,"220,062",-40.77,-39.92,
215,아이에스동서,"31,200","1,350",+4.52%,500,"9,638","30,893",6.05,"128,349",4.30,8.69,
216,아시아나항공,"12,950",100,-0.77%,"5,000","9,636","74,412",6.50,"578,087",-3.47,-47.21,
217,율촌화학,"38,450","5,050",+15.12%,500,"9,536","24,800",5.56,"494,573",280.66,2.44,
218,코리안리,"7,910",30,+0.38%,500,"9,521","120,369",29.70,"169,826",8.81,6.16,
219,KODEX 인버스,"5,295",15,-0.28%,0,"9,499","179,400",1.13,"28,983,346",N/A,N/A,
220,GKL,"15,250",850,+5.90%,500,"9,433","61,856",2.68,"396,921",-12.32,-26.04,
221,오리온홀딩스,"15,050",850,+5.99%,500,"9,428","62,645",5.31,"208,979",9.40,4.23,
222,PI첨단소재,"32,100",150,-0.47%,500,"9,427","29,366",8.96,"233,497",16.72,21.03,
223,미원에스씨,"183,500",500,+0.27%,500,"9,358","5,100",0.53,569,10.87,27.20,
224,종근당,"77,200",800,+1.05%,"2,500","9,255","11,988",7.01,"16,703",20.89,7.65,
225,더존비즈온,"30,450",150,+0.50%,500,"9,252","30,383",23.85,"91,655",23.35,12.10,
226,한국콜마,"39,950","2,300",+6.11%,500,"9,141","22,881",25.97,"162,713",25.84,5.48,
227,현대두산인프라코어,"4,600",0,0.00%,"1,000","9,097","197,763",5.63,"1,828,158",1.84,24.63,
228,진에어,"17,250",700,+4.23%,"1,000","9,004","52,200",2.69,"345,936",-12.21,-98.62,
229,코스모화학,"25,450","1,000",+4.09%,"1,000","8,910","35,008",3.72,"2,119,129",49.13,7.89,
230,KG스틸,"8,810",10,+0.11%,"5,000","8,811","100,009",3.49,"860,354",3.66,17.99,
231,동원산업,"238,000","3,500",+1.49%,"5,000","8,753","3,678",8.81,"12,419",4.19,12.59,
232,제이알글로벌리츠,"4,405",5,-0.11%,"1,000","8,694","197,376",9.30,"398,452",57.21,1.65,
233,삼양식품,"114,500","7,500",+7.01%,"5,000","8,625","7,533",6.88,"110,594",10.89,15.38,
234,한일시멘트,"12,350",100,+0.82%,500,"8,554","69,262",2.35,"79,363",12.07,5.89,
235,미원상사,"172,000",500,+0.29%,500,"8,548","4,970",2.55,"1,516",13.19,20.49,
236,이노션,"41,400",100,-0.24%,500,"8,280","20,000",31.37,"33,990",14.39,8.29,
237,TKG휴켐스,"19,950",250,+1.27%,"1,000","8,155","40,879",6.74,"123,604",10.65,11.06,
238,동양생명,"5,050",150,-2.88%,"5,000","8,149","161,359",81.96,"201,864",3.59,N/A,
239,NHN,"22,600",600,+2.73%,500,"8,140","36,017",13.96,"74,107",11.60,6.81,
240,롯데관광개발,"11,200",450,+4.19%,500,"8,101","72,333",3.50,"573,556",-3.79,-140.42,
241,태광산업,"726,000","14,000",-1.89%,"5,000","8,083","1,113",5.47,956,4.76,8.77,
242,KODEX 코스닥150레버리지,"6,720",225,+3.46%,0,"8,037","119,600",0.06,"42,064,945",N/A,N/A,
243,유니드,"90,300",200,-0.22%,"5,000","8,028","8,890",12.10,"86,072",5.46,20.51,
244,다우기술,"17,750",250,+1.43%,500,"7,964","44,867",22.18,"52,375",2.82,21.11,
245,대상,"22,700",850,+3.89%,"1,000","7,865","34,648",10.96,"138,888",6.24,12.48,
246,더블유게임즈,"42,050",300,+0.72%,500,"7,726","18,375",9.97,"91,434",12.28,16.50,
247,녹십자홀딩스,"16,250","1,050",+6.91%,500,"7,642","47,028",6.48,"159,986",24.89,5.68,
248,해성디에스,"44,700",150,-0.33%,"5,000","7,599","17,000",10.97,"161,982",5.72,27.09,
249,CJ CGV,"15,800",100,-0.63%,500,"7,538","47,708",5.29,"232,249",-2.35,-156.09,
250,드림텍,"11,100",50,+0.45%,100,"7,479","67,380",24.16,"365,706",7.93,22.97,
